Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Gammelsætra grasbane;1617000601;Eksisterende;Fjellværøy idrettslag;Fjellværøy idrettslag;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 67.00 ;  ;  ;628600;36850;6;7070309;209412;33
Kvenvær i.p. - Vikaløkka grasbane;1617000701;Eksisterende;Vest-Hitra IL;Vest-Hitra IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 96.00 ;Bredde 58.00 ;  ;  ;616800;950;6;7062272;172457;33
Hellesvik grasbane;1620000101;Eksisterende;Frøya IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;643800;20750;6;7087103;194959;33
Sula idrettsplass - grusbane;1620000201;Eksisterende;Sula Grendalag;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;651200;3460;5;7096259;178514;33
Sistranda stadion - grasbane;1620000301;Eksisterende;Frøya kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;638470;21610;6;7081708;195264;33
Varden- mausundvær, gras;1620000401;Eksisterende;Mausund IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;653350;13420;6;7097368;188651;33
Flatøysand i.p. - grasbane;1620000501;Eksisterende;Nabeita IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;634130;19330;6;7077624;192545;33
Nabeita skole- fotballbane;1620020104;Nedlagt;Nabeita IL;Nabeita IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 100.00 ;Bredde 60.00 ;  ;  ;634900;20175;5;7078303;193466;33
Frøya idrettspark  kunstgrasbane;1620020105;Eksisterende;Nabeita IL;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;634900;20175;7;7078303;193466;33
Kverva fotballbane (nedlagt);1620030101;Nedlagt;Dønning i.l;Dønning i.l;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 65.00 ;Bredde 35.00 ;  ;  ;635280;7500;5;7079992;180888;33
Klubben balløkke (sandvika);1620040301;Eksisterende;Klubben Grendalag;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 60.00 ;Bredde 40.00 ;  ;  ;641170;15400;5;7085038;189361;33
02.des;1620051301;Eksisterende;Nabeita IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;0;0;5;0;0;0
Lundavoll ipl. - grasbane;1621000101;Eksisterende;Ørland Ballklubb;Ørland Ballklubb;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 70.00 ;  ;  ;637670;-50290;6;7076692;238399;33
Lundavoll ipl. - avlastingsbane;1621000104;Urealisert;Opphaug IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 105.00 ;Bredde 68.00 ;  ;  ;637757;-50286;5;7066109;534578;32
Uthaug std.grasbane;1621000201;Nedlagt;Yrjar, IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 62.00 ;  ;  ;638070;-55650;6;7077451;233076;33
Ørland std grasbane;1621000301;Eksisterende;Ørland kommune;Ørland kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 107.00 meter;Bredde 66.00 meter;  ;  ;634520;-52420;6;7073691;236062;33
Gryta grusbane;1621000302;Nedlagt;Ørland kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;634520;-52420;5;7073691;236062;33
Gryta kunstgressbane - 11'er;1621000308;Eksisterende;Ørland kommune;Ørland Ballklubb;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Bredde 60.00 meter;Lengde 100.00 meter;  ;  ;634347;-52441;7;7073519;236030;33
Realskolebanen;1621000501;Eksisterende;Ørland kommune;Ørland kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 80.00 ;Bredde 45.00 ;  ;  ;633720;-52810;6;7072918;235619;33
Opphaug skole grasbane;1621000601;Eksisterende;Ørland kommune;Ørland kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 50.00 meter;Bredde 40.00 meter;  ;  ;638310;-50620;6;7077353;238113;33
Ørlandshallbanene - u.sk.bane;1621010105;Eksisterende;Ørland kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 70.00 ;Bredde 45.00 ;  ;  ;634160;-52370;6;7073328;236088;33
Fotballflata beian (nedlagt);1621020301;Nedlagt;Yrjar, IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 50.00 ;  ;  ;631080;-57110;6;7070571;231150;33
Storfosna grusbane;1621020401;Eksisterende;Ørland kommune;Storfosna U og IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 75.00 ;Bredde 50.00 ;  ;  ;632130;50840;5;7072376;223700;33
Skoglund fotballbane;1621040601;Nedlagt;Yrjar, IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;; 0.00 ; 0.00 ;  ;  ;636720;-49410;6;7075685;239214;33
Åsmyra grasbane;1622000101;Eksisterende;Lensvik IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 55.00 ;  ;  ;613745;-45640;6;7052500;241440;33
Åsmyra stadion - treningsfelt;1622000103;Eksisterende;Lensvik IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 40.00 ;Bredde 40.00 ;  ;  ;613745;-45640;5;7052500;241440;33
Lensvik s.i.anl.-grusbane;1622000201;Eksisterende;Agdenes kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;613715;-44565;5;7052398;242511;33
Ingdalhagen stadion grasbane;1622000301;Eksisterende;Ingdalen IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;609160;-41080;6;7047619;245685;33
Lysheim skole -balløkke;1622002001;Eksisterende;Agdenes kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 60.00 ;Bredde 30.00 ;  ;  ;625385;-51945;5;7064540;235925;33
Lysheim grusbane;1622002004;Eksisterende;Agdenes kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 70.00 ;Bredde 40.00 ;  ;  ;665508;-52017;5;7104595;238542;33
Råkvåg stadion - grasbane;1624000101;Eksisterende;Stjørna IL;Stjørna IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 100.00 ;Bredde 65.00 ;  ;  ;641800;-31880;6;7079582;257051;33
Reina idrettsplass - grasbane;1624000201;Eksisterende;Fevåg IL;Fevåg IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 110.00 ;Bredde 70.00 ;  ;  ;633300;-41900;6;7071769;246481;33
Lykja stadion - grasbane;1624000301;Eksisterende;Hasselvika IL;Hasselvika IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 105.00 ;Bredde 64.00 ;  ;  ;628440;-43080;6;7066997;244978;33
Langsand stadion - grasbane;1624000401;Eksisterende;Rissa I.L.;Rissa I.L.;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 107.00 ;Bredde 65.00 ;  ;  ;623130;-39440;6;7061453;248256;33
Langsand stadion -grusbane;1624000402;Eksisterende;Rissa I.L.;Rissa I.L.;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 100.00 ;Bredde 58.00 ;  ;  ;623130;-39440;5;7061453;248256;33
Langsand stadion - 7er gressbane;1624000404;Planlagt;Rissa I.L.;Rissa I.L.;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 70.00 ;Bredde 50.00 ;  ;  ;623130;-39440;6;7061453;248256;33
Langsand stadion- ny gressbane;1624000406;Planlagt;Rissa I.L.;Rissa I.L.;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 103.00 ;Bredde 68.00 ;  ;  ;623070;-39285;6;7061383;248407;33
Åsly stadion - grasbane;1624000501;Nedlagt;Rissa kommune;Rissa kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 100.00 ;Bredde 60.00 ;  ;  ;622620;-32760;6;7060497;254889;33
Åsly stadion - kunstgrasbane;1624000504;Eksisterende;Rissa kommune;Rissa kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 meter;Bredde 64.00 meter;  ;  ;622621;-37241;7;7051336;548020;32
Stadsbygd stadion - grasbane;1624000601;Nedlagt;Stadsbygd IL;Stadsbygd IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 101.00 ;Bredde 65.00 ;  ;  ;614190;-35510;6;7052267;251581;33
Stadsbygd stadion - kunstgrasbane;1624000606;Eksisterende;Stadsbygd IL;Stadsbygd IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;614180;-35570;7;7052261;251520;33
Skaugdalen stadion - grasbane;1624000701;Eksisterende;Skauga IL;Skauga IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 68.00 ;  ;  ;629670;-28180;6;7067227;259932;33
Skaugdalen stadion - grusbane;1624000702;Eksisterende;Rissa kommune;Skauga IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 105.00 ;Bredde 66.00 ;  ;  ;629733;-28216;5;7067293;259901;33
Mælan skole -grusbane;1624000801;Eksisterende;Rissa kommune;Rissa kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 90.00 ;Bredde 58.00 ;  ;  ;641150;-28930;5;7078735;259952;33
Hysnes - grusbane;1624000901;Eksisterende;Hasselvika IL;Hasselvika IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 84.00 ;Bredde 68.00 ;  ;  ;627350;-44450;5;7066000;243538;33
Leivikmyra - grasbane;1627000101;Eksisterende;Lysøysund IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 104.00 ;Bredde 64.00 ;  ;  ;654100;-40750;6;7092453;249023;33
Marienborg std.grasbane;1627000201;Eksisterende;Jøssund I. Og U.L.;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 62.00 ;  ;  ;652150;-46000;6;7090858;243652;33
Oksvoll ipl gressbane;1627000301;Eksisterende;Nes og Oksvoll IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 104.00 ;Bredde 70.00 ;  ;  ;647100;-51200;6;7086166;238123;33
Bjugn stadion - grasbane;1627000401;Eksisterende;Bjugn kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;641550;-44700;6;7080191;244239;33
Bjugn stadion - grusbane;1627000402;Eksisterende;Bjugn kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 96.00 ;Bredde 60.00 ;  ;  ;641550;-44700;5;7080191;244239;33
Nes stadion - grasbane;1627000501;Eksisterende;Nes og Oksvoll IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;644700;-55500;6;7084059;233670;33
Oksvoll skole - grusbane;1627040101;Eksisterende;Bjugn kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 60.00 ;Bredde 40.00 ;  ;  ;648100;-51600;5;7087191;237791;33
Ervika stadion - fotballbane;1627050101;Eksisterende;Ytre Bjugn Ungdomslag;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 60.00 ;Bredde 40.00 ;  ;  ;640200;-50300;6;7079218;238559;33
Åset stadion - grasbane;1630000101;Nedlagt;Åfjord kommune;Åfjord kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 105.00 ;Bredde 64.00 ;  ;  ;664600;-24200;6;7101822;266245;33
Åset stadion - grusbane;1630000102;Eksisterende;Åfjord kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 53.00 ;  ;  ;664600;-24200;5;7101822;266245;33
Åset kunstgressbane;1630000105;Eksisterende;Åfjord kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;664493;-24171;7;7101713;266267;33
Åset stadion, kunstgress, rehabilitering.;1630000106;Planlagt;Åfjord kommune;Åfjord kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Bredde 60.00 ;Lengde 100.00 ;  ;  ;664493;-24171;7;7101713;266267;33
Stokkøy stadion - grasbane;1630000201;Eksisterende;Stokkøy IL;Stoksund, Sportklubben;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 104.00 ;Bredde 68.00 ;  ;  ;673140;-35670;6;7111115;255370;33
Innlandet grasbane;1630000301;Ikke i drift;Åfjord kommune;Stoksund, Sportklubben;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 100.00 ;Bredde 64.00 ;  ;  ;671670;-31140;6;7109344;259793;33
Norddalen fotb.bane;1630005101;Nedlagt;Åfjord kommune;;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;; 0.00 ; 0.00 ;  ;  ;677250;-11050;;7113564;280217;33
Bessaker grasbane;1632000101;Eksisterende;UIF Bjørgan;UIF Bjørgan;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 96.00 ;Bredde 57.00 ;  ;  ;696212;-18759;6;7125372;564504;32
Brandsfjord grusbane;1632000201;Eksisterende;Roan kommune;Roan kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;689402;-14344;5;7118686;569100;32
Roan idrettsplass - gressbane;1632003201;Eksisterende;Roan Grendalag;Roan Grendalag;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 110.00 ;Bredde 50.00 ;  ;  ;688320;-23810;6;7125469;268227;33
Fjellheim stadion -grasbane;1633000101;Eksisterende;Osen/Steinsdalen IL;Osen/Steinsdalen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;696000;-4000;6;7131801;288512;33
Sætervik stadion -grusbane;1633000201;Eksisterende;Sætervik U.I.F.;Sætervik U.I.F.;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;712800;-11600;5;7149078;282059;33
Furuly stadion - grasbane;1633000301;Eksisterende;Osen/Steinsdalen IL;Osen/Steinsdalen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;701900;-10450;6;7138123;282473;33
Strand idrettsplass - grusbane;1633000401;Eksisterende;Osen kommune;Osen/Steinsdalen IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;703300;-11600;5;7139597;281419;33
Oppdal grasbane;1634000101;Eksisterende;Oppdal kommune;;Fylkesanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 64.00 ;  ;  ;512160;-53160;6;6951596;227170;33
Oppdal grusbane;1634000102;Eksisterende;Oppdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 105.00 ;Bredde 64.00 ;  ;  ;512160;-53160;5;6951596;227170;33
Oppdal skolebane gras;1634000103;Eksisterende;Oppdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;512160;-53160;6;6951596;227170;33
Oppdal nye grusbane;1634000104;Eksisterende;Oppdal IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;512160;-53160;5;6951596;227170;33
Oppdal kunstgressbane;1634000110;Eksisterende;Oppdal IL;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 72.00 ;Bredde 110.00 ;  ;  ;512285;-53220;7;6951725;227118;33
Moabanen engan  grusbane;1634000201;Eksisterende;Drivdalen IL;Drivdalen idrettslag;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 95.00 ;Bredde 50.00 ;  ;  ;499800;-58950;5;6939641;220570;33
Vollan skole - fotballbane;1634010502;Eksisterende;Vollan Skolekrets;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 45.00 ;  ;  ;510100;-55700;6;6949708;224498;33
Vollan nærmiljøanlegg, fotballøkke;1634010504;Eksisterende;;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 118.00 ;Bredde 50.00 ;  ;  ;510100;-55700;6;6949708;224498;33
Lønset skole - fotballbane;1634040101;Eksisterende;Oppdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 45.00 ;  ;  ;511100;48900;6;6952119;209320;33
Fagerhaug i.p. - fotballbane;1634050101;Eksisterende;Fagerhaug IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;519000;-42900;6;6957743;237866;33
Innset grusbane;1635000101;Eksisterende;Innset IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 45.00 ;  ;  ;526750;-35900;5;6965015;245367;33
Berkåk grasbane;1635000201;Nedlagt;Rennebu kommune;Rennebu kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;538300;-36200;6;6976564;245835;33
Berkåk grusbane;1635000202;Eksisterende;Rennebu kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;538300;-36200;5;6976564;245835;33
Rennebu kunstgrasbane;1635000205;Eksisterende;Rennebu kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Bredde 68.00 meter;Lengde 106.00 meter;  ;  ;538379;-36201;7;6967184;551319;32
Frambanen grasbane;1635000301;Eksisterende;Rennebu IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 57.00 ;  ;  ;540900;-43850;6;6979667;238372;33
Trollvang grusbane;1635000401;Eksisterende;Rennebu IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 55.00 ;  ;  ;546950;-47500;5;6985949;235130;33
Havdal skole -grusbane;1635010001;Nedlagt;Rennebu kommune;Rennebu kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 50.00 ;Bredde 30.00 ;  ;  ;530900;-38200;5;6969310;243347;33
Havdal skole -grasbane;1635010003;Nedlagt;Rennebu kommune;Rennebu kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert; 0.00 ; 0.00 ;  ;  ;530900;-38200;6;6969310;243347;33
Heggøya arena - Grasbane;1636000101;Eksisterende;Dalguten IL;Dalguten IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 110.00 ;Bredde 64.00 ;  ;  ;567600;-56670;6;7007173;227351;33
Heggøya arena - Grusbane;1636000102;Eksisterende;Dalguten IL;Dalguten IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;567600;-56670;5;7007173;227351;33
Heggøya arena - Balløkke;1636000105;Eksisterende;Dalguten IL;Dalguten IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 62.00 ;Bredde 25.00 ;  ;  ;567717;-56687;6;7007291;227341;33
Heggøya Arena - Kunstgressbane;1636000107;Eksisterende;Dalguten IL;Dalguten IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Bredde 64.00 meter;Lengde 100.00 meter;  ;  ;567600;-56670;7;7007173;227351;33
Å idrettsplass - Grasbane;1636000201;Eksisterende;Nor, IL;IL Nor;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 104.00 ;Bredde 64.00 ;  ;  ;556280;-49370;6;6995387;233884;33
Løkken grasbane;1636000301;Eksisterende;Løkken Idrettsforening;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 67.00 ;  ;  ;571950;-50880;6;7011130;233420;33
Løkken stadion - Kunstgressbane rehab;1636000302;Eksisterende;Løkken Sport AS;Løkken Sport AS;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;571950;-50880;7;7011130;233420;33
Løkken grusbane;1636000306;Nedlagt;Løkken Idrettsforening;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 1.00 ;Bredde 1.00 ;  ;  ;0;0;5;0;0;0
Kølmoen idrettsplass - Grasbane;1636000401;Eksisterende;Meldal IL;Meldal IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 100.00 ;Bredde 60.00 ;  ;  ;561980;-51215;6;7001200;232422;33
Meldal barne- og ungdomsskole - Kunstgressbane;1636006302;Planlagt;Meldal kommune;Meldal kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;  ;  ;  ;  ;571511;252123;7;6990533;535615;33
Glimt grasbane;1638000101;Eksisterende;Glimt, ungd.og Idr.Lag;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 103.00 ;Bredde 63.00 ;  ;  ;592300;-45000;6;7031051;240647;33
Glimt småguttebane gras;1638000104;Eksisterende;Glimt, ungd.og Idr.Lag;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 60.00 ;Bredde 40.00 ;  ;  ;592300;-45000;6;7031051;240647;33
Orkanger grasbane 1;1638000201;Eksisterende;Orkdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 70.50 ;  ;  ;591315;-43835;6;7029990;241744;33
Orkanger grasbane 2;1638000202;Eksisterende;Orkdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;591315;-43835;6;7029990;241744;33
Orkanger grusbane;1638000203;Nedlagt;Orkdal kommune;Orkla Fotballklubb;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 106.00 ;Bredde 68.00 ;  ;  ;591315;-43835;5;7029990;241744;33
Orkanger kunstgrasbane;1638000215;Eksisterende;Orkla Fotballklubb;Orkla Fotballklubb;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Nei;Lengde 100.00 ;Bredde 64.00 ;  ;  ;591315;-43835;7;7029990;241744;33
Orkanger idrettspark - Kunstgressbane med undervarme;1638000222;Planlagt;Orkanger Idrettsforening;Orkanger Idrettsforening;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Nei;  ;  ;  ;  ;591427;-43801;7;7030100;241785;33
Fannremsmoen grasbane;1638000301;Nedlagt;Orkdal il;Orkdal il;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 67.50 ;  ;  ;588145;-44735;6;7026886;240634;33
Fannremsmoen grusbane;1638000302;Nedlagt;Orkdal il;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 70.00 ;  ;  ;588145;-44735;5;7026886;240634;33
Fannremsmoen kunstgrasbane;1638000308;Eksisterende;Orkdal il;Orkdal il;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 106.00 ;Bredde 68.00 ;  ;  ;588145;-44735;7;7026886;240634;33
Svorkmo grasbane;1638000401;Eksisterende;Svorkmo N.O.I.;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 109.00 ;Bredde 69.00 ;  ;  ;576840;-49000;6;7015886;235623;33
Svorkmo grusbane;1638000402;Eksisterende;Svorkmo N.O.I.;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;576840;-49000;5;7015886;235623;33
Øyasletta grasbane;1638000501;Eksisterende;Svorkmo N.O.I.;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 110.00 ;Bredde 66.00 ;  ;  ;579800;-47280;6;7018726;237537;33
Kviknelykkja grasbane;1638000601;Eksisterende;Fjellmann IL;Fjellmann IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 87.00 ;Bredde 55.00 ;  ;  ;578150;-56750;6;7017710;227974;33
Follo grasbane;1638000701;Eksisterende;Sør-Trøndelag fylkeskommune;Sør-Trøndelag fylkeskommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 110.00 ;Bredde 70.00 ;  ;  ;588600;-43800;6;7027278;241598;33
Grøtte skole - fotballbane;1638003001;Eksisterende;Orkdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 96.00 ;Bredde 50.00 ;  ;  ;586400;-45500;6;7025195;239754;33
Geitastrand grasbane;1638006101;Eksisterende;Geitastrand IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 60.00 ;  ;  ;597500;-43600;6;7036148;242391;33
Øra s.idr.anl.-grasbane 1;1640000101;Eksisterende;Røros IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 108.00 ;Bredde 66.00 ;  ;  ;509332;33988;6;6942998;313961;33
Øra s.idr.anl.-grasbane 2;1640000102;Eksisterende;Røros IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 110.00 ;Bredde 68.00 ;  ;  ;509332;33988;6;6942998;313961;33
Øra s.idr.anl.-grasbane 3 mini;1640000103;Eksisterende;Røros IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;509332;33988;6;6942998;313961;33
Øra s.idr.anl. - grusbane;1640000104;Nedlagt;Røros IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 105.00 ;Bredde 60.00 ;  ;  ;509425;34135;5;6943081;314113;33
Øra kunstgressbane;1640000111;Eksisterende;Røros IL;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;509425;34135;7;6943081;314113;33
Øra sentralidrettsanlegg - Lys kunstgressbane;1640000113;Urealisert;;;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;Nei;  ;  ;  ;  ;509425;34135;;6943081;314113;33
